raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.43.21	131273	128263	4469	99337	75.7368698940503	90518	69.0442960071849	1276	2730	9678	7.3897102906359	0.0456132346045066
91497.1.43.22	124916	122458	4522	95149	76.1901924016711	86853	69.6070884695922	1076	2389	9427	7.53581584466753	0.042574453753628
91497.1.43.25	68556	66917	2649	55849	81.5383928428332	49865	72.8684041691865	736	1528	5989	8.68128486379304	0.0460733680573441
91497.1.43.27	169336	165426	5478	122690	72.5144346785445	112695	66.654194054801	1476	3221	11925	7.02593257518079	0.0428605381285271
91497.1.43.32	142041	139349	4987	113787	80.1829211677482	102362	72.202683973342	1345	2944	6463	4.54820366424245	0.0434403035765865
91497.1.43.36	751136	734596	24910	621562	82.8364386315406	544859	72.6617564464209	4620	14645	63033	8.39805072974041	0.038957129909109
91497.1.43.38	784778	773848	25713	657106	83.7906793651978	561104	71.5767192924725	4028	13526	42384	5.39736799742382	0.0343024670927554
91497.1.43.40	270418	266460	9377	218013	80.6823624986414	194057	71.8521804468065	1971	5041	19000	7.03585079209276	0.0388805121289716
91497.1.43.41	325904	318860	11355	232456	71.4065018522612	208977	64.2211017906333	2409	6037	21328	6.55883834510766	0.0434402239551543
91497.1.43.43	470718	463004	16350	324410	68.9420837968491	295256	62.7877001417351	2875	8219	33568	7.13495989870078	0.042252339373124
91497.1.43.47	936098	922057	28727	767578	82.0483435014163	659640	70.5469576217982	4522	15901	68590	7.33783198452463	0.0340413178404603
91497.1.4.34	88007	85528	4329	64977	74.0187052014664	57576	65.6338706276529	1307	2307	7287	8.24936153332736	0.0622049678289199
91497.1.43.56	401993	393276	12909	274339	68.2623550724261	244473	60.8945750768722	2897	7371	22303	5.55061478411308	0.0438466127665724
91497.1.44.10	149520	146589	5235	122317	81.9617748932055	109721	73.5580331767065	1379	3145	18137	12.1012174889423	0.0429276891847737
91497.1.44.16	66629	65161	2448	35572	53.3983196853179	30900	46.3979730309386	602	1055	125	0.189724682677671	0.0499263086285535
91497.1.4.41	124241	121035	5478	96512	77.8889563557186	84809	68.5061852780838	1494	3125	23908	19.2392244533762	0.055049880550208
91497.1.44.20	707699	692877	23446	609503	86.239094234277	512348	72.5438318059512	4580	13491	25403	3.59814795320568	0.0364608746547324
91497.1.44.21	192679	189037	6863	151300	78.5745945321319	135915	70.6315033227255	1507	3786	11077	5.74116431774336	0.042158839850808
91497.1.44.22	672850	655218	22529	586215	87.2664657453846	509026	75.8439708076046	4709	13955	36019	5.36742719126878	0.0389161136499085
91497.1.44.26	108273	105848	4292	92495	85.5724153734149	81163	75.122855639545	1063	2472	16169	15.0127867253859	0.0464265788132017
91497.1.4.42	865193	852025	27286	762889	88.2551320266903	621307	71.9219782265812	4509	15194	34402	3.96979529812283	0.0323511428660316
91497.1.44.2	119640	117676	4046	97908	81.9294919764536	88403	74.0283724826129	1123	2513	12389	10.3594763087684	0.042944667665449
91497.1.44.33	565039	548094	19421	489107	86.7532624630414	433702	76.9921698877753	4332	12311	37309	6.61271235404595	0.0410594170239174
91497.1.44.37	855305	842873	26727	779113	91.1699408772223	645827	75.5790410836038	4765	15423	39847	4.65060462751354	0.0328031556778979
91497.1.44.38	918643	904803	29408	834173	90.882616867988	709582	77.3509113285084	4994	17298	50256	5.47787059474574	0.0343497621942153
91497.1.4.43	362183	356581	12585	315711	87.2706431535505	277298	76.6720188993978	2359	6903	28627	7.92564100196145	0.0366822631277355
91497.1.44.56	239168	232096	7892	195238	81.8348954704487	175381	73.624846583438	2079	5096	26969	11.2857958640062	0.0421226619961653
91497.1.44.57	131913	128013	4358	108042	82.1241355827593	96884	73.6551843712934	1301	2922	10683	8.07961140373217	0.0425677048129225
91497.1.44.60	952972	932244	29419	854223	89.7735612966693	741796	78.0043873442285	5628	18573	52733	5.5278378503296	0.0349894604036288
91497.1.44.61	1243347	1217927	39360	1102252	88.797874402718	938711	75.6846903537288	6639	24392	93597	7.53739515434973	0.0359826537229788
91497.1.44.67	1417063	1380258	44762	1169089	82.6613038084456	1047682	74.1363859184734	7426	28765	121039	8.56380657459263	0.0398530035240072
91497.1.4.56	273515	264797	8993	208727	76.4494340747855	187024	68.576571244959	2382	5530	18274	6.70926246132383	0.0426233663434636
91497.1.4.64	1418038	1387001	41790	1038443	73.3456611367663	895191	63.2865175768269	6713	23858	93686	6.60252863581178	0.0365703534835992
91497.1.4.67	738806	723223	22665	536842	72.7895537342	490082	66.5121903394606	4146	13672	70800	9.59422890024699	0.0411638043704259
91497.1.4.70	1835810	1817539	55851	1526818	83.2347441610988	1275762	69.5614048503295	6969	30449	88580	4.81974328280628	0.0326230754108348
91497.1.4.7	266989	258628	9909	220016	82.5810553325661	199986	75.1248629886331	2581	6045	11769	4.4431802520521	0.0448134199217837
91497.1.5.11	90837	89528	3395	80179	88.3632161704532	70749	78.0156970083712	912	1961	7557	8.38185712893637	0.0415122904243592
91497.1.5.16	107465	105473	3911	87052	81.0361556837609	74044	69.0180392743055	1043	2223	6556	6.115939721628	0.0424478096922838
91497.1.5.20	320117	315410	10845	286981	89.7127081681524	250950	78.4957063866341	2336	6441	24667	7.71754695878635	0.0373949066649869
91497.1.5.28	132163	128986	4458	112682	85.377744481003	99445	75.4186756118192	1320	2867	8518	6.46475876402089	0.0419487447593695
91497.1.5.29	122952	119612	4830	102693	83.6887789300109	91241	74.3772809594799	1225	2793	29844	24.3213434360697	0.0467535643789619
91497.1.5.34	126948	123782	4637	106248	83.8491691325355	95061	75.1446559001352	1385	3045	10818	8.49701445869151	0.0483538151774151
91497.1.5.35	72339	70668	2680	57062	79.0234880180626	51670	71.6207055490714	722	1587	11108	15.3547013812385	0.046582293391715
